contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,outcome,x,y,playerId,playerName,possessionValue.pvValue,possessionValue.pvAdded,assist,keyPass,label,match_id,date
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843155,71,49,1,6,53,1,90.3,85.4,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,0.0417881,0.0314786,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843177,72,1,1,6,54,0,92.2,84.5,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,0.0076662,-0.0341219,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843217,73,1,1,7,1,1,66.4,32.1,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,0.0056157,0.0056157,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843231,74,1,1,7,3,1,65.1,52.7,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,0.0040313,-0.0015844,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843245,75,1,1,7,7,1,57.3,43.4,ef7l91pb4w6yk7lijxjxlievp,M. Greve,0.0011372,-0.0040313,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2702804031,889,61,1,7,8,1,71.9,95.4,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843247,76,5,1,7,9,0,75.0,101.7,ef7l91pb4w6yk7lijxjxlievp,M. Greve,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2702804243,890,61,1,7,29,1,69.3,95.4,11cna826ls27ahux2w0ckapqt,K. Kusk,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843379,78,55,1,7,31,1,32.7,68.1,ef7l91pb4w6yk7lijxjxlievp,M. Greve,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843363,77,43,1,7,31,1,0.0,0.0,11cna826ls27ahux2w0ckapqt,K. Kusk,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843507,79,1,1,7,55,1,27.2,75.7,18vvlxsaoloypja4fdddj687o,O. Jebali,0.0005958,-0.0001495,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843521,80,1,1,7,57,1,34.9,64.5,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,0.0003279,-0.0002679,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843531,81,1,1,7,59,1,28.6,36.7,ef7l91pb4w6yk7lijxjxlievp,M. Greve,0.0012123,0.0008844,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843539,82,1,1,8,0,1,39.5,27.1,139g7ilwvcpl519v3scnweg2d,L. Jensen,0.0007424,-0.0004699,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843547,83,1,1,8,3,1,45.1,11.7,duahzgqspyuy2gu31u3s8ky96,M. Lassen,0.0011913,0.0004489,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843553,84,1,1,8,4,1,41.8,25.2,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,0.0004335,-0.0007578,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843571,85,1,1,8,6,1,34.3,35.2,ef7l91pb4w6yk7lijxjxlievp,M. Greve,0.0005863,0.0001528,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843593,86,1,1,8,9,1,34.4,61.1,18vvlxsaoloypja4fdddj687o,O. Jebali,0.002721,0.0021347,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843617,87,1,1,8,12,1,56.5,95.9,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,0.0080387,0.0053177,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843621,88,50,1,8,17,1,67.2,79.8,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,0.0,-0.0080387,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843811,90,27,1,8,23,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843815,91,28,1,8,51,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843777,89,68,1,8,52,0,58.6,63.9,NaN,NaN,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
