contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,league_name,date,country,9,15,16,17,18,19,20,22,23,24,25,29,56,63,64,72,73,74,75,76,78,79,80,81,82,83,89,100,101,102,103,108,120,121,138,146,147,154,160,214,215,230,231,233,273,280,281,282,321,322,324,326,327,328,353,374,375,390,391,395,396,458,472,sequenceId,possessionId,keyPass,140,141,318,210,6,26,107,65,68,77,84,85,86,87,153,192
b2vft81kyjurzbmekvgrqwr64,Hobro,2827651539,427,15,1,6,46,S. Andreasen,4qyfoq5fjiochtj89w426lm21,1,79.8,34.7,2025-07-18T16:38:18.300,2025-07-18T17:21:53,"{""id"": 5799109453, ""qualifierId"": 103, ""value"": ""19""}",NaN,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,47.3,19,NaN,NaN,NaN,NaN,82.9,36.6,NaN,NaN,NaN,true,96.9,48.2,107,NaN,NaN,NaN,NaN,0.019843757152557373,0.0,true,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2827659297,456,15,2,55,33,C. Tue Jensen,74m58jsznzu8l89b8h7rkh1bd,1,89.1,60.0,2025-07-18T17:44:58.569,2025-07-18T17:46:41,"{""id"": 5799150451, ""qualifierId"": 17}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,NaN,true,NaN,NaN,true,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,true,true,47.3,19,NaN,NaN,NaN,NaN,98.0,49.6,true,NaN,NaN,NaN,95.8,55.4,602,NaN,NaN,NaN,NaN,0.3368866443634033,0.0,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2827660011,459,16,2,57,47,C. Tue Jensen,74m58jsznzu8l89b8h7rkh1bd,1,88.5,50.0,2025-07-18T17:47:13.474,2025-07-18T17:48:22,"{""id"": 5804311075, ""qualifierId"": 396, ""value"": ""47.3""}",NaN,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,true,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.9,11.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,99.7,50.4,NaN,NaN,PENALTY_WON,547731,4042,0.7884,0.7561879754066467,NaN,1,1,NaN,604,2025-07-18 18:47:12.750,57:47.265,544913,NaN,1.2,47.3,true,458,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2827660303,471,15,1,10,9,S. Larsen,4m7gr5z6b40dj02yrmlwgeluc,1,79.6,36.6,2025-07-18T16:41:41.888,2025-07-18T18:24:44,"{""id"": 5799167137, ""qualifierId"": 29}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,49.7,19,NaN,NaN,NaN,NaN,83.3,39.0,NaN,NaN,NaN,true,97.5,47.7,439,NaN,NaN,NaN,NaN,0.03796278312802315,0.0,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2827661197,495,13,2,62,46,S. Larsen,4m7gr5z6b40dj02yrmlwgeluc,1,62.8,36.1,2025-07-18T17:52:12.090,2025-07-18T17:53:19,"{""id"": 5799160963, ""qualifierId"": 230, ""value"": ""98.2""}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,57.1,15.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.2,47.7,NaN,NaN,NaN,NaN,NaN,0.01614575833082199,0.0,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2827660501,636,15,2,59,43,O. Klitten,e19g5bz7s9wqcvj8mttztxi0a,1,86.4,35.4,2025-07-18T17:49:09.069,2025-07-21T15:29:22,"{""id"": 5799163253, ""qualifierId"": 20}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.6,30.4,NaN,true,NaN,NaN,99.7,46.9,true,NaN,NaN,NaN,NaN,NaN,476,NaN,NaN,NaN,NaN,0.06217435747385025,0.4651850759983063,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2827660541,640,15,2,59,55,S. Andreasen,4qyfoq5fjiochtj89w426lm21,1,85.6,42.4,2025-07-18T17:49:20.644,2025-07-21T15:29:22,"{""id"": 5799157241, ""qualifierId"": 103, ""value"": ""9.5""}",NaN,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,NaN,true,NaN,NaN,true,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.2,9.5,NaN,NaN,NaN,NaN,98.4,47.3,NaN,NaN,NaN,NaN,NaN,NaN,478,NaN,NaN,NaN,NaN,0.18918916583061218,0.30448633432388306,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2827663949,666,13,2,82,25,S. Hald,67p0s4o54xcmiustgy8k5gljo,1,94.0,49.7,2025-07-18T18:11:51.031,2025-07-18T18:12:59,"{""id"": 5799177013, ""qualifierId"": 230, ""value"": ""98.8""}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,40.3,65.3,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,98.8,49.5,NaN,NaN,NaN,NaN,NaN,0.31960636377334595,0.0,NaN,3,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2827664563,711,13,2,86,10,A. Gøthler,d2ukggo2v5jsw4pctznmaijo4,1,90.9,39.7,2025-07-18T18:15:36.206,2025-07-18T18:16:49,"{""id"": 5799180969, ""qualifierId"": 230, ""value"": ""93.8""}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,NaN,true,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,58.0,15.3,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,true,93.8,43.0,NaN,NaN,NaN,NaN,NaN,0.3776838779449463,0.0,NaN,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2827661809,713,15,2,67,28,O. Klitten,e19g5bz7s9wqcvj8mttztxi0a,1,83.0,33.1,2025-07-18T17:56:54.423,2025-07-21T15:29:22,"{""id"": 5804319365, ""qualifierId"": 328}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.2,32.3,NaN,NaN,NaN,NaN,97.5,48.7,NaN,NaN,NaN,NaN,NaN,NaN,536,NaN,NaN,NaN,NaN,0.03411634638905525,0.024784579873085022,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2827661867,718,13,2,68,28,M. Boye,5jyv1dctfxa6335l1mlifwavo,1,94.2,50.7,2025-07-18T17:57:54.013,2025-07-18T17:59:06,"{""id"": 5799165237, ""qualifierId"": 327, ""value"": ""2""}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.9,66.7,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,98.5,50.5,NaN,NaN,NaN,NaN,NaN,0.23839838802814484,0.0,NaN,1,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2827665521,744,15,2,91,25,N. Jakobsen,4ti8pdx03j8dh4mdb626ltmvo,1,81.3,60.9,2025-07-18T18:20:50.504,2025-07-18T18:22:01,"{""id"": 5799190905, ""qualifierId"": 78}",NaN,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,51.1,19,NaN,NaN,NaN,NaN,84.9,59.0,NaN,NaN,NaN,true,97.3,53.8,918,NaN,NaN,NaN,NaN,0.08833841234445572,0.0,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2827665729,757,15,2,92,24,B. Alkhoudari,6orujbbswf771s9rv0dcd8kd0,1,91.8,34.8,2025-07-18T18:21:50.216,2025-07-21T15:51:12,"{""id"": 5799190435, ""qualifierId"": 233, ""value"": ""938""}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,Center,true,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.1,13.3,NaN,NaN,NaN,true,97.5,43.9,true,NaN,NaN,NaN,NaN,NaN,938,true,NaN,NaN,NaN,0.10568642616271973,0.12180562317371368,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2827662425,777,15,2,73,24,M. Boye,5jyv1dctfxa6335l1mlifwavo,1,95.4,50.3,2025-07-18T18:02:50.321,2025-07-21T15:29:20,"{""id"": 5799168963, ""qualifierId"": 103, ""value"": ""13.3""}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.9,13.3,NaN,NaN,NaN,NaN,99.0,48.9,true,NaN,true,NaN,NaN,NaN,571,NaN,NaN,NaN,NaN,0.5547385215759277,0.33785682916641235,NaN,2,1,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2827664047,847,15,2,83,5,O. Klitten,e19g5bz7s9wqcvj8mttztxi0a,1,89.2,41.3,2025-07-18T18:12:30.932,2025-07-18T18:13:41,"{""id"": 5799177735, ""qualifierId"": 82}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,NaN,true,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,48.8,19,NaN,NaN,NaN,NaN,93.4,45.1,true,NaN,NaN,NaN,99.8,49.1,677,NaN,NaN,NaN,NaN,0.17173472046852112,0.0,NaN,1,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2827665087,899,13,2,88,56,M. Boye,5jyv1dctfxa6335l1mlifwavo,1,94.8,51.6,2025-07-18T18:18:22.397,2025-07-18T18:20:17,"{""id"": 5799184639, ""qualifierId"": 75}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.3,1.4,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,99.1,50.7,NaN,NaN,NaN,NaN,NaN,0.1858915239572525,0.0,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2829140407,49,16,1,3,43,N. Jakobsen,4ti8pdx03j8dh4mdb626ltmvo,1,92.7,55.2,2025-07-25T16:34:15.422,2025-07-25T18:43:22,"{""id"": 5807438161, ""qualifierId"": 22}",NaN,budoafznnaffvp9oyzt6abcic,HB Køge vs Aarhus Fremad,1_Division,2025-07-25,DNK,NaN,NaN,NaN,true,NaN,,NaN,true,,NaN,NaN,NaN,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,52.3,20.3,,,,,NaN,NaN,NaN,,true,NaN,98.0,45.3,NaN,,PASS_LOST,547731,4042,0.5756287574768066,0.9888385534286499,,3,0,true,NaN,2025-07-25 17:34:14.916,03:43.422,NaN,,,,true,48,,,,,,,,,NaN,,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN
bfwi3pjyg3whbn0tpsz19e8hq,Aarhus Fremad,2829141227,83,15,1,8,23,M. Kaastrup,9nafz0c0x2qvmo5ldm0djmcq1,1,74.1,81.2,2025-07-25T16:38:55.058,2025-07-25T16:40:05,"{""id"": 5807460723, ""qualifierId"": 29}",1.0,budoafznnaffvp9oyzt6abcic,HB Køge vs Aarhus Fremad,1_Division,2025-07-25,DNK,NaN,NaN,NaN,NaN,NaN,,true,true,,NaN,NaN,true,Left,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,,NaN,,51.2,19,,,,,80.5,73.8,NaN,,NaN,true,98.1,52.7,72,,NaN,NaN,NaN,0.01000265683978796,0.0,,2,3,NaN,NaN,NaN,NaN,NaN,,,,NaN,NaN,,,,,,,,,NaN,,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bfwi3pjyg3whbn0tpsz19e8hq,Aarhus Fremad,2829141823,118,13,1,11,20,M. Berthelsen,6yh22sf7jss7huppjtromrkes,1,68.7,50.6,2025-07-25T16:41:51.520,2025-07-25T16:42:58,"{""id"": 5807446445, ""qualifierId"": 231, ""value"": ""49.8""}",NaN,budoafznnaffvp9oyzt6abcic,HB Køge vs Aarhus Fremad,1_Division,2025-07-25,DNK,NaN,NaN,NaN,NaN,true,,true,NaN,,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,NaN,,43.2,68.1,,,,,NaN,NaN,NaN,,NaN,NaN,98.9,49.8,NaN,,NaN,NaN,NaN,0.027546226978302002,0.0,,1,3,NaN,NaN,NaN,NaN,NaN,,,,true,NaN,,,,,,,,,true,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
