contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,16,17,18,20,22,24,25,26,29,56,60,63,64,68,72,73,75,76,78,80,81,82,83,84,86,89,100,102,103,108,114,120,121,146,147,153,154,160,214,215,230,231,233,321,322,326,327,328,374,375,391,395,396,458,468,sequenceId,possessionId,keyPass,140,141,318,210,23,6,9,107,61,74,77,79,133,136,254,280,281,282,323,324,338,472,85,62,101,138,216,217,274,275,300,273,65,66,87,139
dbl7ir1qugqz8nvp1vzn8im50,OB,2702068877,374,15,1,41,0,J. Bonde,e9o7q10wnhex4e8eo47mobbvt,1,93.6,46.2,2024-07-20T14:43:26.925,2024-07-22T15:29:53,1.0,"{""id"": 5110373841, ""qualifierId"": 82}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,2024-07-20,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,true,46.2,19,NaN,NaN,NaN,NaN,95.4,46.2,NaN,true,NaN,NaN,NaN,99.1,46.8,349,0.15534467995166779,NaN,3,3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2702068985,380,13,1,41,14,W. Martin,15jhbyn4wsbd865fd9djcwaok,1,76.7,62.3,2024-07-20T14:43:40.573,2024-07-20T14:44:50,1.0,"{""id"": 5110373321, ""qualifierId"": 231, ""value"": ""51.8""}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,2024-07-20,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,40.3,68.1,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,98.2,51.8,NaN,0.021961094811558723,NaN,1,3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,2702081101,527,16,2,58,39,E. Holten,dkuinrikn3htd1kilcsce2bit,1,93.0,51.7,2024-07-20T15:19:35.492,2024-07-22T15:29:34,1.0,"{""id"": 5110441509, ""qualifierId"": 102, ""value"": ""53.8""}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,2024-07-20,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,53.8,7.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,95.8,50.7,NaN,0.4458383023738861,0.9548,3,1,NaN,2024-07-20 16:19:35.046,58:38.593,NaN,5.0,49.1,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,2702082035,538,15,2,60,38,E. Sørensen,9xxdec5pv5plas9ve4ehs4nop,1,81.6,28.9,2024-07-20T15:21:35.393,2024-07-22T15:29:31,NaN,"{""id"": 5110444671, ""qualifierId"": 215}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,2024-07-20,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.3,7.6,NaN,true,NaN,NaN,94.2,41.3,NaN,NaN,NaN,NaN,true,NaN,NaN,579,0.03900681436061859,0.2756,2,2,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2702079329,539,15,2,55,1,L. Owusu,e42jh6bbwn4aybdnysonrvutx,1,87.5,30.3,2024-07-20T15:15:57.771,2024-07-22T15:29:51,1.0,"{""id"": 5114577281, ""qualifierId"": 76}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,2024-07-20,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,53.3,19,NaN,NaN,NaN,NaN,89.3,33.6,NaN,NaN,NaN,NaN,NaN,99.1,46.0,505,0.027295410633087158,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2702079625,548,13,2,55,23,W. Martin,15jhbyn4wsbd865fd9djcwaok,1,86.8,66.0,2024-07-20T15:16:20.428,2024-07-22T15:29:50,1.0,"{""id"": 5110431255, ""qualifierId"": 230, ""value"": ""99.0""}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,2024-07-20,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,36.5,61.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,99.0,54.2,NaN,0.03898578882217407,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2702082201,587,15,2,61,7,L. Kjerrumgaard,axyrfq1u8nwcj2ss5498u8qhg,1,73.3,45.0,2024-07-20T15:22:03.751,2024-07-20T15:25:03,1.0,"{""id"": 5110450265, ""qualifierId"": 76}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,2024-07-20,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,53.3,19,NaN,NaN,NaN,NaN,83.6,48.2,NaN,NaN,NaN,NaN,true,98.5,47.7,539,0.025952281430363655,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2702085055,650,15,2,68,1,J. Bonde,e9o7q10wnhex4e8eo47mobbvt,1,92.5,55.0,2024-07-20T15:28:57.605,2024-07-20T15:31:14,1.0,"{""id"": 5110464599, ""qualifierId"": 231, ""value"": ""51.8""}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,2024-07-20,true,NaN,true,NaN,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,51.6,19,NaN,NaN,NaN,NaN,94.0,54.3,NaN,true,NaN,NaN,NaN,99.0,51.8,587,0.07889809459447861,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2702085061,652,13,2,68,3,J. Gomez,ev2s21ogvpjtata4fndi868ve,1,92.4,34.4,2024-07-20T15:28:59.836,2024-07-20T15:30:34,1.0,"{""id"": 5110462357, ""qualifierId"": 20}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,2024-07-20,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.7,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.6,46.8,NaN,0.054523419588804245,NaN,2,2,true,NaN,NaN,true,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,2702092435,682,15,2,82,37,B. Hvidt,4yyiv4t6irqpeayug5qgvmkmh,1,69.4,86.9,2024-07-20T15:43:33.948,2024-07-20T15:48:18,NaN,"{""id"": 5110507251, ""qualifierId"": 147, ""value"": ""49.6""}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,2024-07-20,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,Left,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.3,0.6,NaN,NaN,NaN,NaN,99.0,49.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,757,0.035221491008996964,0.3065,1,2,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,2702093947,712,13,2,85,14,T. Freriks,4jve632xnmqujh4ioaxpaovai,1,79.2,30.3,2024-07-20T15:46:10.624,2024-07-20T15:47:23,1.0,"{""id"": 5110510525, ""qualifierId"": 230, ""value"": ""99.3""}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,2024-07-20,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,58.3,59.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,99.3,48.9,NaN,0.020259909331798553,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2702091605,747,13,2,81,8,L. Owusu,e42jh6bbwn4aybdnysonrvutx,1,80.7,28.2,2024-07-20T15:42:05.181,2024-07-22T16:29:22,1.0,"{""id"": 5110497383, ""qualifierId"": 102, ""value"": ""59.2""}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,2024-07-20,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,59.2,12.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,99.3,47.5,NaN,0.03612447530031204,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2702099027,848,16,2,96,8,L. Kjerrumgaard,axyrfq1u8nwcj2ss5498u8qhg,1,94.5,54.5,2024-07-20T15:57:04.842,2024-07-20T15:58:37,1.0,"{""id"": 5110538749, ""qualifierId"": 29}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,2024-07-20,true,true,NaN,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.3,6.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,98.9,50.7,NaN,0.21025660634040833,0.6908,3,1,true,2024-07-20 16:57:04.450,96:07.997,NaN,98.6,50.5,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,2703404531,87,16,1,6,52,N. Strunck,auv81snxkpk2ybxzi8giy5azt,1,85.0,50.7,2024-07-26T17:07:10.191,2024-07-26T20:31:33,1.0,"{""id"": 5117902975, ""qualifierId"": 20}",5x6tgnddq164y7hxajehmzpjo,Hobro vs Esbjerg,2024-07-26,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,true,Center,,NaN,,,NaN,NaN,,NaN,NaN,NaN,true,NaN,,NaN,,NaN,NaN,48.1,28.5,NaN,,,,NaN,NaN,NaN,NaN,true,NaN,true,98.9,50,NaN,0.13786670565605164,0.164,1,3,true,2024-07-26 18:07:09.246,06:51.434,NaN,,,NaN,NaN,,,,,,,,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2703409943,217,16,1,26,17,J. Cornelius,8gdfn7j6xac9p4jh94hk40jdg,1,81.3,66.2,2024-07-26T17:26:35.584,2024-07-26T20:31:18,1.0,"{""id"": 5117932443, ""qualifierId"": 22}",5x6tgnddq164y7hxajehmzpjo,Hobro vs Esbjerg,2024-07-26,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,49.7,30.4,true,,,,NaN,NaN,NaN,true,NaN,NaN,NaN,98.0,51.6,NaN,0.01676012948155403,0.0503,3,2,NaN,2024-07-26 18:26:34.233,26:16.421,NaN,,,NaN,NaN,,,,,,,,NaN,,,,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,2703409651,296,16,1,25,3,E. Holten,dkuinrikn3htd1kilcsce2bit,1,91.7,52.1,2024-07-26T17:25:21.374,2024-07-26T20:31:35,1.0,"{""id"": 5117931909, ""qualifierId"": 230, ""value"": ""97.6""}",5x6tgnddq164y7hxajehmzpjo,Hobro vs Esbjerg,2024-07-26,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,,NaN,,,true,NaN,,NaN,NaN,true,NaN,NaN,,NaN,,NaN,NaN,46.5,2.5,NaN,,,,NaN,NaN,NaN,true,NaN,true,NaN,97.6,52.3,NaN,0.5504794120788574,0.9181,1,1,true,2024-07-26 18:25:20.844,25:03.032,NaN,,,NaN,NaN,,,,,,,,NaN,,,,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,2703410455,315,13,1,28,14,N. Strunck,auv81snxkpk2ybxzi8giy5azt,1,80.0,36.2,2024-07-26T17:28:32.644,2024-07-26T20:31:09,NaN,"{""id"": 5118248959, ""qualifierId"": 215}",5x6tgnddq164y7hxajehmzpjo,Hobro vs Esbjerg,2024-07-26,NaN,NaN,NaN,true,true,NaN,NaN,true,NaN,NaN,Center,,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,48.1,87.5,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,true,98.8,48.9,NaN,0.027356550097465515,NaN,2,3,NaN,NaN,NaN,NaN,,,true,NaN,,,,,,,,NaN,,,,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2703413557,318,15,1,37,33,J. Cornelius,8gdfn7j6xac9p4jh94hk40jdg,1,91.4,55.6,2024-07-26T17:37:51.236,2024-07-26T18:03:35,NaN,"{""id"": 5117953125, ""qualifierId"": 22}",5x6tgnddq164y7hxajehmzpjo,Hobro vs Esbjerg,2024-07-26,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,Center,,NaN,,,true,NaN,,NaN,NaN,true,NaN,true,,NaN,,NaN,NaN,46.5,19,NaN,,,,93.7,54.5,NaN,NaN,NaN,true,NaN,94.6,59.0,400,0.12339428067207336,NaN,3,2,true,NaN,NaN,NaN,,,true,NaN,,,,,,,,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,2703413729,407,15,1,38,3,A. Lausen,ate1ymumg2iwzn8uyyf3ts222,1,81.9,63.0,2024-07-26T17:38:21.623,2024-07-26T20:31:15,NaN,"{""id"": 5117954511, ""qualifierId"": 215}",5x6tgnddq164y7hxajehmzpjo,Hobro vs Esbjerg,2024-07-26,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,Center,,NaN,,,NaN,NaN,,NaN,true,NaN,NaN,NaN,,NaN,,NaN,NaN,51.1,3.8,NaN,,,,98.9,51.1,NaN,NaN,NaN,NaN,true,NaN,NaN,321,0.027391869574785233,0.0432,3,2,NaN,NaN,NaN,NaN,,,true,NaN,,,,,,,,NaN,,,,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,2703414221,417,16,1,39,19,E. Holten,dkuinrikn3htd1kilcsce2bit,1,93.4,49.3,2024-07-26T17:39:37.850,2024-07-26T20:31:22,1.0,"{""id"": 5117958877, ""qualifierId"": 230, ""value"": ""98.6""}",5x6tgnddq164y7hxajehmzpjo,Hobro vs Esbjerg,2024-07-26,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,,NaN,,,true,NaN,,NaN,true,NaN,NaN,NaN,,NaN,,NaN,NaN,50.6,19.0,NaN,,,,NaN,NaN,NaN,true,NaN,true,NaN,98.6,50,NaN,0.22256773710250854,0.6063,3,2,true,2024-07-26 18:39:36.668,39:18.856,NaN,,,NaN,NaN,,,,,,,,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
